Phone Number,Amount,Address,Name,Sku#,Invoice Id,Email,Total Cost,Date
(619) 126-4663,12,"30984 Matthew Neck Michaelville, GA 43520",Edward Clements,SKU#436dde36c9fc294189932638f3789898,IID#b21020d5b54087f3949f4eb4cb4392e5,kharmon@hotmail.com,468.59999999999997,09/10/2016
(473) 480-4931,20,"9860 Hammond Flats Apt. 489 Mosesfurt, ID 38584",Kevin Martin,SKU#bec7e4f13de9f987d917998cf040754d,IID#3b5710aaf22637a4858ee3b70ea2f380,zhensley@gmail.com,2765.6,09/10/2016
(202) 870-7701,9,"26889 Miller Parkway Suite 425 Brentchester, NE 51696",Paige Meyer,SKU#ccbdf684d154d86984b984bef22fb71f,IID#342370c273014db15f86db967709b41d,jill82@gmail.com,821.43,09/15/2016
(838) 488-2671,21,"0341 Hopkins Turnpike Suite 706 Ericfurt, MI 24725",Mr. Andrew Guzman,SKU#a27770954f1e6caf5875ab6ea6c4bfb5,IID#ffe80d06ddae7e9ae7746d1edd101048,qsmith@hotmail.com,2191.56,09/15/2016
(138) 430-7779,20,"61308 Michelle Alley Suite 962 Craigborough, TX 81225",Lindsey Sharp,SKU#22577911e88af39f79409e6de8eed4d9,IID#3da86cc48da84b8f3664b25f9d6821c9,fsmith@gmail.com,1835.2,09/15/2016
(002) 760-4792,15,"6502 Robinson Lakes Suite 750 Taylorburgh, AK 36808",Elizabeth Jones,SKU#a3e4a389dc43d310923fb62d5ab16a1c,IID#f2e24bc66f79bcb79d8ef0a052a47c22,vgriffin@walton.net,2020.2,09/22/2016
(847) 524-4948,14,"98453 Anderson Freeway Suite 647 Evansland, VA 26995",Misty Brown,SKU#e9212713a55c3fce07707c9adb0809b3,IID#b5824d707823bbc25c7016ebe5eef346,jaredwood@fernandez.com,1082.3400000000001,09/25/2016
(915) 790-4388,22,"USS Haney FPO AP 52781",Jasmine Olson,SKU#468d0dd7a404f5ec971c8fd62d0c9f2c,IID#9e5aaf1c89606b6d37affd5075144995,brownrachel@thompson.info,2935.02,09/27/2016
(995) 688-0725,16,"Unit 7605 Box 3721 DPO AE 31342",Brandon Murphy,SKU#eecd109a97f2bb0ca35fd4f7bb303543,IID#8a46a4bc77a3f321996ff4079f834054,melissaodom@johnson.info,1862.4,09/28/2016
(291) 196-5931,15,"USNS Shields FPO AP 79312",Gabrielle Combs,SKU#cd5d2472a2bf9ac7eb4e15146b30bd2f,IID#fd77b8e780a04fdcca64b06f6ca61b4e,williamsutton@yahoo.com,1243.35,09/29/2016
