Date,First Name,Total Cost,Amount,Invoice Id,Last Name,Sku#,Phone Number,Email,Address
09/07/2016,James,1659.96,18,IID#bc4fdeea3d1d9cdd3b9be9bce136789f,Young,SKU#fb0f7462c3084ae7ab6d9fdbf5ee53c2,(285) 352-3357,jessicafarrell@gmail.com,"568 Joseph Meadows Apt. 936 Jenkinsborough, CT 34820"
09/12/2016,Stephen,1557.1999999999998,17,IID#3c74b6a23c67420784f9c7f14d1544c1,Robinson,SKU#b69f227d106d1e7db3662d6a6f07cfe0,(453) 864-2749,brittany63@davis.com,"433 Justin Trace Ericland, VT 56304"
09/13/2016,Vanessa,3287.5,25,IID#e234879da88c2b7f010957cb65874e4f,Howe,SKU#651bcf535ed50ffa7724c8751bec1a66,(219) 293-9245,lcole@turner-conway.org,"0871 Diane Common Humphreyhaven, WA 31928"
09/14/2016,Diane,1915.96,19,IID#ca5b8794f9bbf6abf974b58e09f23408,Daniels,SKU#ebe28db082660b55fb94f6121a65fe65,(706) 848-0847,erin90@young.com,"507 Katherine Lakes Apt. 725 Emilymouth, CA 34183"
09/18/2016,Joseph,373.45000000000005,11,IID#e1c69acb5735d490fbdcbbce9d970870,Glenn,SKU#714648d2aa2d73c96e0bf598fe1947a3,(638) 458-1023,brownjames@yahoo.com,"47919 Derrick Estates Suite 081 Kramerborough, AZ 06103"
09/19/2016,Nathaniel,2391.53,19,IID#f4aaf4a8d391b95da1910fb705ad3478,Brown,SKU#0f4a36c4a3ee08de2cb188696ee51696,(363) 971-5011,milleralexander@johnson.net,"53490 Bender Pass Port Johnborough, MT 51933"
10/10/2016,Edwin,1973.14,13,IID#20280c91caf97ccb25d01734402c7cce,Evans,SKU#7932190646d24e951872b8885857ebde,(491) 322-3154,vazquezjonathan@hotmail.com,"01604 Shane Island Nicholasshire, WA 36640"
10/15/2016,Chad,711.49,13,IID#881532b126922524fd15d08a2daae61e,Morris,SKU#eaed3e93aeb3c33f31c3b1e573974fdd,(171) 601-2668,michaelbrown@yahoo.com,"70383 Heather Mills Suite 441 Morenochester, NV 12346"
10/20/2016,Hunter,1333.92,14,IID#1f3112c7bd8e16da16b00bb8c1c860b8,Robinson,SKU#a3f07671642038caece41ff2a52d8673,(040) 082-9755,urivers@duncan-jones.org,"116 John Greens Lake Meganborough, OH 26527"
10/25/2016,Brandon,1001.8799999999999,12,IID#4fd9aab9c116723a74ae324fdb4006ec,Nelson,SKU#f1ac49336dea31702152983ebe35b850,(715) 846-0605,rachelwalsh@hansen-riley.com,"736 Matthew Islands Suite 099 Haydenburgh, WY 63262"
11/01/2016,Chad,1893.08,14,IID#87032ad01a9afbca7d648a6ecdd6b1ac,Kelly,SKU#e0e2d4e5fd76889a0fb95f8227b27293,(137) 106-2971,meghan19@cantrell.com,"PSC 2969, Box 0544 APO AA 81348"
11/02/2016,Karina,2153.7000000000003,15,IID#11b38fed5eb0627291c3ba28cb9fbc03,Campbell,SKU#fb3c6492a06de877a1137af9b2e852d7,(241) 701-4331,taylorgray@reynolds.biz,"6559 Gregory View Apt. 539 Lake Kaitlinbury, AR 76550"
11/09/2016,Christopher,2231.68,22,IID#33c9e9b43b8958a984c810bb2a1b38f3,Cameron,SKU#e3c4dd21a9171fd39d208efa09bf7883,(387) 934-8682,hgreene@brown.biz,"478 Henry Shores Lake Donnaborough, DC 90011"
11/19/2016,Chelsea,1697.22,18,IID#57dd62bed10468945a21ac5c4f17eae2,Peterson,SKU#149e9d3008eb45be7b0b57c19065d57b,(418) 059-6228,gilesjoshua@yahoo.com,"8063 Ashley Street Port Kelsey, NV 45689"
