Address,Total Cost,Name,Amount,Phone Number,Email,Invoice Id,Date,Sku#
"USNS Lawson FPO AP 50265",118.44,David Sanchez,4,(141) 917-8272,leonard83@hotmail.com,IID#bfbc6e29299a5386413f7eb4fd741049,09/07/2016,SKU#9461d6821ed8378704d8c0658cb655c4
"7732 Ryan Spring Suite 024 Villanuevaborough, IN 42394",966.25,John Smith,25,(665) 844-2557,twarren@cummings.net,IID#1e53b6545c3c6b751f594887831e48ed,09/11/2016,SKU#3ec27034eb407f4e005c159122e327fa
"287 Francisco Club Normanshire, NV 57438",1427.55,Christopher Owens,15,(094) 081-9403,emilyfoster@hotmail.com,IID#f8db947cc422247a3ae94a2a4a11917f,09/19/2016,SKU#80802b088528adf260a52f1563f68b85
"730 Brittany Lakes Apt. 706 North Michael, MD 03949",2246.7599999999998,Martha Dougherty,18,(261) 930-6844,pattersonchristine@yahoo.com,IID#238bb2889be8108b0f59fd46f67f61a0,09/20/2016,SKU#1adcb05e97a9d3de3c80d399692829b7
"Unit 8785 Box 3068 DPO AA 25549",350.34999999999997,Charles Davis,13,(945) 648-7329,pricekristin@yahoo.com,IID#b4123a5d3c88a2ad7d5a3d79d4303440,09/21/2016,SKU#5ff7d39f746825178890c870b0e6562d
"98506 Joann Rue Jessicaton, MO 74210",2683.38,Michael Wilkinson,21,(598) 182-2628,timothy87@green.com,IID#6fdf97a7eb65c965d96644d1a702e00f,09/26/2016,SKU#88424e757f66efd36c624e534052284a
"95622 Crystal Forest Suite 020 Margaretfort, MA 98624",771.45,Steve Lewis,15,(437) 731-2197,wjohnson@hill.biz,IID#05572df305a1051fd49a801129c23afa,10/01/2016,SKU#06c61bcbf2ecd1295dd9a282ae253546
"011 Jackson Gateway West Kylie, NH 41433",393.68,Paige Lee,14,(776) 016-8862,carriejensen@boyer.com,IID#3481c61930574a7d766db0ca47d98cd3,10/06/2016,SKU#790b47ce33356b9493e981bf105da7ce
"65655 Kevin Fall Leonardport, NE 81239",686.88,Nicole Simpson,16,(637) 912-4674,miguel17@thomas-perry.com,IID#cdb20c04d5acff3221c1f7261ddc900d,10/19/2016,SKU#86ae25fd8fc8ff16262133e5e6b578bc
"32801 Cameron Villages South Rachaelchester, MO 72930",1852.02,Gail Owens,18,(690) 818-0547,marylee@gmail.com,IID#fff4bf55ef712e97872255bb88caedf8,10/23/2016,SKU#4fb90e5f1623b15a43cc85e33b0aa82f
"1645 Harvey Mountains Apt. 091 North Wendyport, WA 37298",1695.84,Laura Reyes MD,16,(319) 881-0436,jason28@hotmail.com,IID#e19afca1c5476ea014bca913afaf150e,10/30/2016,SKU#ff9a2d3be0b1b401f5bbae30ab62a24d
"19165 Hayley Landing Suite 395 Markberg, NY 38243",314.16,Nicole Nguyen,14,(345) 955-9923,rebecca44@hawkins-rogers.info,IID#bbf4610a3fff5f0ada25a853b3e7ff50,11/02/2016,SKU#b203621a65475445e6fcdca717c667b5
"77371 Brian Forges Suite 113 East Caitlinview, NM 38886",701.0,Reginald Owens,5,(458) 027-7981,ochaney@lopez.biz,IID#93f31dff57cbf94c302c5187145199d5,11/12/2016,SKU#53549731972ee564bcb8ca0cc2ba60b0
"229 Stanley Park Apt. 691 Andrewberg, OR 78211",717.21,Michelle Young,9,(481) 722-1016,claytonmorales@hotmail.com,IID#bd0b772959760d9ca14dd3340b45f055,11/18/2016,SKU#d0439fd37b50bf9818f12d47dc2dea78
"114 Alicia Parks Suite 545 Justinside, AK 33432",515.4,Derek Dixon,10,(079) 025-8728,erinpreston@yahoo.com,IID#e4b60993d431aa61f99dbe8464c1144f,11/19/2016,SKU#491d4857e02191839fe07d27d2aac519
"704 Love Manors West Nicholas, DE 03988",407.28999999999996,Raymond Russell,13,(065) 541-8369,kristinfleming@hernandez.org,IID#255ee8e7f363a898252878b2904c0b56,11/20/2016,SKU#6841a847b560d1a1483bdbd28d212ad7
"5869 John Hills Ortizbury, WA 21709",980.52,Jamie Monroe,12,(095) 163-5950,chadgarcia@gmail.com,IID#39b29c12af646fb2186570935de0e144,11/25/2016,SKU#8edc22fedce822ad66c7733ea98784b2
"43044 Michelle Parks New Bethanytown, NJ 99313",1038.53,Jessica Williams,17,(499) 896-5202,katrina29@yahoo.com,IID#6059aacff481eab2437ab1001062c8a3,11/26/2016,SKU#3855a48bda492173d92ea60e14af2730
