Invoice Id,Amount,Name,Address,Total Cost,Sku#,Phone Number,Date,Email
IID#e5a08ba90e7ab620555f0a4748c1a365,12,Maria Mckenzie,"36726 Kyle Vista Suite 752 Leblancborough, ND 80233",1417.44,SKU#e9ec8abba3c25796e027afd2cd2ef77d,0452461381,09/12/2016,katrina60@cole-lopez.com
IID#55aa357af57326154c6ddbc8ed240cac,21,Joseph Marshall,"78655 Williams Dam Apt. 830 New Justinhaven, RI 33595",1151.43,SKU#81e4bf29a6552cb0df60980b937ed4a3,7910911784,09/13/2016,michellemays@ayers.net
IID#2b79185acbd34ee73125aca45a4ea5d6,12,Jessica Fritz,"90278 Timothy Overpass Suite 078 Lake Rachelborough, CO 93262",1801.1999999999998,SKU#16b41a8dee51a47cf362ec449b2a4ab0,8984598511,09/13/2016,romerochad@gmail.com
IID#fe613b8e86b8917f0c7ab14c479e87ed,9,Jessica Jackson,"51341 Perry Place Suite 019 Martinbury, TX 36628",1388.52,SKU#4ae71336e44bf9bf79d2752e234818a5,8724379170,09/14/2016,atorres@mills.com
IID#eb926bffd0c8a5dba40440076b57fbad,10,Todd Morgan,"28452 Cole Mews Apt. 152 South Sarahville, OH 34694",1067.3,SKU#1079e8f69138f626c4065e314d2ba525,8796039834,09/16/2016,medinadustin@mitchell-salazar.com
IID#dd6db17d14637cdd3dc828945a64d18a,17,Ashley Burton,"Unit 9522 Box 8678 DPO AA 81287",1876.12,SKU#1c9e99e48a495fe81d388fdb4900e59f,2675790367,09/17/2016,patricia42@gmail.com
IID#0fc0070ac3c55350cea3a418dfb3ec59,13,Elizabeth Santana,"12839 Tracy Brook Maloneview, CT 53794",1552.2,SKU#b3877309a41b936c83c6b26578f9ae2a,6451301139,09/18/2016,vjackson@jones.com
IID#df4196eadcd3d84196fc4c8db108db17,10,Mark Shaw,"0891 Meagan Keys Port William, SD 55009",988.5,SKU#eecae68e4f9ee6f037742aac8f36cc1b,4245068980,09/26/2016,scottkim@hotmail.com
IID#c64c5c6a79bf9f57bf577fd31c2b2a80,13,Sharon Ryan,"63402 Green Highway Suite 391 Port Jesse, MT 52712",1648.14,SKU#bf4c31c85e0802a52a6aad0e3ae4578a,0643319216,10/01/2016,dvasquez@wood-ortiz.com
IID#b0804f10e65133c3a3e074469700fa7e,6,Alex Gonzalez,"15187 Debra Islands Suite 601 Lake Thomasmouth, MI 05170",379.92,SKU#281814d2404251097e8f324145559472,9726975419,10/02/2016,heather05@david-rose.org
IID#d44c99b532765a7ce3224389376d2d5d,15,Gabrielle Combs,"USNS Shields FPO AP 79312",820.65,SKU#ab58d658c2dfe0393df78f57740dcdb8,2911965931,10/10/2016,williamsutton@yahoo.com
IID#32bfd6ad2fda95944390fe5688121eae,9,Julie Phillips,"USCGC Fernandez FPO AE 56978",783.6299999999999,SKU#cf69901e6d4609009dff8be5b3045c96,5474746420,10/11/2016,ronald05@gmail.com
IID#1f8c68fc740ef487a31f7ca0b494a240,27,Christopher Mckee,"21525 Aaron Neck Suite 211 South Leah, DE 87095",1382.4,SKU#8c1d71b2bf2d4d1eea6a825412dd4544,4024310208,10/18/2016,kvelazquez@gmail.com
IID#821c93f7758e62f0628b3e9271e702db,19,Tina Shepard,"254 James Junctions Apt. 724 Port Brian, NY 49943",2319.14,SKU#9639b2e7e5fe39d0f1770cad86f59b73,3230920333,10/23/2016,gabriellemunoz@hotmail.com
IID#566180290d18fc8520c8750acabdb262,24,Jeffrey Turner,"424 Wayne Court Mathisville, WY 89072",1273.1999999999998,SKU#8447681e67cd6daa70e9ce05f1eaef43,3325004816,10/24/2016,leslie01@baker.com
